Protein.Group,Genes,PG.MaxLFQ,CellType,Fraction,SampleName
Q8IYI6,EXOC8,6810.982421875,EP,4,EP_F4
Q9P283,SEMA5B,3305.26513671875,EP,3,EP_F3
P49767,VEGFC,4310.7275390625,WO,2,WO_F2
P01024,C3,22140.357421875,EP,3,EP_F3
P01024,C3,142375.859375,WO,1,WO_F1
P01024,C3,69515.671875,WO,2,WO_F2
P01024,C3,63052.77734375,WO,3,WO_F3
P01024,C3,65743.0078125,WO,4,WO_F4
Q9Y6D6,ARFGEF1,18755.517578125,EP,1,EP_F1
Q9Y6D6,ARFGEF1,10074.7294921875,EP,2,EP_F2
Q9Y6D6,ARFGEF1,7304.42626953125,WO,1,WO_F1
Q9Y6D6,ARFGEF1,4895.3662109375,WO,2,WO_F2
Q9Y3S2,ZNF330,12423.1435546875,EP,2,EP_F2
Q9Y3S2,ZNF330,16224.865234375,WO,2,WO_F2
Q9Y3S2,ZNF330,11516.9384765625,WO,1,WO_F1
Q9Y3S2,ZNF330,5730.81884765625,WO,3,WO_F3
Q6PD62,CTR9,8040.5234375,EP,3,EP_F3
Q6PD62,CTR9,9589.0185546875,EP,4,EP_F4
Q6PD62,CTR9,4829.24951171875,WO,3,WO_F3
Q8N6H7,ARFGAP2,5436.56005859375,EP,2,EP_F2
Q8N6H7,ARFGAP2,13441.013671875,WO,2,WO_F2
Q14847,LASP1,109919.25,EP,2,EP_F2
Q14847,LASP1,199907.5,EP,3,EP_F3
Q14847,LASP1,74248.6484375,EP,4,EP_F4
Q14847,LASP1,1313186.75,WO,1,WO_F1
Q14847,LASP1,2019012.375,WO,2,WO_F2
Q14847,LASP1,1473609.25,WO,3,WO_F3
Q14847,LASP1,1273095.5,WO,4,WO_F4
P35658,NUP214,15735.74609375,EP,3,EP_F3
P26640,VARS1,61238.05078125,EP,1,EP_F1
P26640,VARS1,46134.17578125,EP,2,EP_F2
P26640,VARS1,63549.08203125,EP,3,EP_F3
P26640,VARS1,60344.2734375,EP,4,EP_F4
P26640,VARS1,21702.603515625,WO,3,WO_F3
O75448,MED24,0,EP,3,EP_F3
O75448,MED24,0,WO,3,WO_F3
Q96I25,RBM17,22239.943359375,EP,1,EP_F1
Q96I25,RBM17,17325.521484375,EP,4,EP_F4
P00533,EGFR,12765.224609375,EP,1,EP_F1
P00533,EGFR,36204.06640625,EP,2,EP_F2
P00533,EGFR,5781.140625,WO,1,WO_F1
Q6H8Q1,ABLIM2,4079.602294921875,EP,1,EP_F1
Q6H8Q1,ABLIM2,9798.716796875,EP,4,EP_F4
P62879,GNB2,64849.17578125,EP,1,EP_F1
P62879,GNB2,22676.396484375,EP,2,EP_F2
P62879,GNB2,37325.54296875,EP,3,EP_F3
P62879,GNB2,62481.60546875,EP,4,EP_F4
P62879,GNB2,39850.2265625,WO,1,WO_F1
P62879,GNB2,84207.8203125,WO,4,WO_F4
P62879,GNB2,22683.56640625,WO,2,WO_F2
Q9HBF4,ZFYVE1,8959.830078125,EP,1,EP_F1
Q9HBF4,ZFYVE1,4999.17138671875,WO,1,WO_F1
P50583,NUDT2,4550.72509765625,EP,1,EP_F1
P50583,NUDT2,9663.5322265625,EP,2,EP_F2
P50583,NUDT2,23323.248046875,EP,3,EP_F3
P50583,NUDT2,7089.5322265625,WO,2,WO_F2
P50583,NUDT2,5414.703125,WO,3,WO_F3
Q99536,VAT1,4915.35546875,EP,1,EP_F1
Q99536,VAT1,10077.59375,EP,2,EP_F2
Q99536,VAT1,38658.65234375,EP,3,EP_F3
Q99536,VAT1,9817.4736328125,EP,4,EP_F4
Q99536,VAT1,11477.1240234375,WO,1,WO_F1
Q99536,VAT1,16096.2880859375,WO,2,WO_F2
Q99536,VAT1,41671.70703125,WO,3,WO_F3
Q99536,VAT1,24545.701171875,WO,4,WO_F4
Q9HCJ6,VAT1L,53130.2109375,EP,3,EP_F3
Q9HCJ6,VAT1L,22085.916015625,EP,4,EP_F4
Q9HCJ6,VAT1L,18855.056640625,WO,3,WO_F3
Q9HCJ6,VAT1L,14991.2099609375,WO,4,WO_F4
P22234,PAICS,68361.375,EP,2,EP_F2
P22234,PAICS,45499.3203125,WO,2,WO_F2
Q9HBF4,ZFYVE1,9770.435546875,WO,2,WO_F2
O14964,HGS,28589.87109375,EP,1,EP_F1
O14964,HGS,476216.53125,EP,2,EP_F2
O14964,HGS,171626.484375,EP,3,EP_F3
O14964,HGS,40724.45703125,EP,4,EP_F4
O14964,HGS,39058.984375,WO,1,WO_F1
O14964,HGS,88686.796875,WO,3,WO_F3
O14964,HGS,48506.15625,WO,4,WO_F4
P32121,ARRB2,22086.8125,EP,3,EP_F3
P32121,ARRB2,11149.0927734375,EP,4,EP_F4
P32121,ARRB2,10594.509765625,WO,3,WO_F3
P49407,ARRB1,12609.6982421875,EP,2,EP_F2
P49407,ARRB1,18070.869140625,WO,1,WO_F1
P49407,ARRB1,19564.689453125,WO,2,WO_F2
Q96M96,FGD4,8875.486328125,EP,1,EP_F1
Q96M96,FGD4,4678.08154296875,EP,2,EP_F2
P29144,TPP2,25710.189453125,EP,1,EP_F1
P29144,TPP2,12368.4541015625,WO,1,WO_F1
A0AVT1,UBA6,21877.55859375,EP,2,EP_F2
A0AVT1,UBA6,25377.431640625,EP,3,EP_F3
A0AVT1,UBA6,28383.033203125,EP,4,EP_F4
A0AVT1,UBA6,10865.107421875,WO,3,WO_F3
A0AVT1,UBA6,15626.4453125,WO,4,WO_F4
Q86WG5,SBF2,1683.2841796875,EP,1,EP_F1
Q86WG5,SBF2,3416.748779296875,EP,2,EP_F2
Q6YN16,HSDL2,42443.0625,EP,1,EP_F1
Q6YN16,HSDL2,12529.57421875,EP,2,EP_F2
Q6YN16,HSDL2,9932.568359375,EP,4,EP_F4
P52564,MAP2K6,12360.3876953125,EP,1,EP_F1
P52564,MAP2K6,27798.79296875,EP,4,EP_F4
Q9HCI7,MSL2,13626.3251953125,EP,3,EP_F3
Q9HCI7,MSL2,4536.57275390625,EP,4,EP_F4
Q6DN90,IQSEC1,13134.560546875,WO,2,WO_F2
Q6DN90,IQSEC1,5970.85498046875,WO,3,WO_F3
P53801,PTTG1IP,12951.478515625,WO,1,WO_F1
P53801,PTTG1IP,25132.677734375,WO,3,WO_F3
P53801,PTTG1IP,6832.67529296875,WO,4,WO_F4
P53801,PTTG1IP,9960.9208984375,WO,2,WO_F2
O43707,ACTN4,423700.90625,EP,3,EP_F3
O43707,ACTN4,171531.875,EP,4,EP_F4
O43707,ACTN4,141865.75,WO,1,WO_F1
O43707,ACTN4,503089.1875,WO,2,WO_F2
O43707,ACTN4,589183.4375,WO,3,WO_F3
O43707,ACTN4,266680.8125,WO,4,WO_F4
P63272,SUPT4H1,5677.89990234375,WO,3,WO_F3
P63272,SUPT4H1,16449.27734375,WO,4,WO_F4
Q8WUA2,PPIL4,25954.384765625,EP,1,EP_F1
Q8WUA2,PPIL4,38479.68359375,EP,2,EP_F2
Q8WUA2,PPIL4,24729.123046875,EP,3,EP_F3
Q8WUA2,PPIL4,25291.23828125,EP,4,EP_F4
Q8WUA2,PPIL4,44048.140625,WO,2,WO_F2
Q8WUA2,PPIL4,21540.462890625,WO,3,WO_F3
Q8WUA2,PPIL4,16574.0078125,WO,4,WO_F4
O60315,ZEB2,2715.312744140625,WO,1,WO_F1
O60315,ZEB2,15056.0322265625,WO,3,WO_F3
O60315,ZEB2,4004.224853515625,WO,4,WO_F4
Q709C8,VPS13C,11678.1220703125,EP,1,EP_F1
Q709C8,VPS13C,18893.16796875,EP,2,EP_F2
Q709C8,VPS13C,8529.6064453125,WO,1,WO_F1
P11047,LAMC1,45925.66015625,EP,1,EP_F1
P11047,LAMC1,49176.96875,EP,2,EP_F2
P11047,LAMC1,57491.67578125,EP,3,EP_F3
P11047,LAMC1,52819.515625,EP,4,EP_F4
P11047,LAMC1,27224.3203125,WO,3,WO_F3
Q9HAV0,GNB4,364.51116943359375,EP,4,EP_F4
P56159,GFRA1,2022.5552978515625,EP,2,EP_F2
P56159,GFRA1,3669.16259765625,WO,2,WO_F2
Q96SW2,CRBN,3582.194091796875,EP,1,EP_F1
Q96SW2,CRBN,13953.35546875,EP,3,EP_F3
Q8NHP8,PLBD2,210446.25,EP,2,EP_F2
Q8NHP8,PLBD2,93693.28125,EP,3,EP_F3
Q8NHP8,PLBD2,72967.53125,WO,2,WO_F2
Q8NHP8,PLBD2,32287.76171875,WO,3,WO_F3
Q8NHP8,PLBD2,25386.80078125,WO,4,WO_F4
Q8NHP8,PLBD2,58017.7890625,EP,4,EP_F4
O94819,KBTBD11,4207.65185546875,EP,1,EP_F1
O94819,KBTBD11,4886.41015625,WO,1,WO_F1
O94819,KBTBD11,12761.5224609375,WO,2,WO_F2
Q9NRA2,SLC17A5,4989.548828125,EP,2,EP_F2
P11717,IGF2R,18888.099609375,EP,4,EP_F4
P11717,IGF2R,15697.9619140625,WO,1,WO_F1
P11717,IGF2R,24420.064453125,WO,3,WO_F3
P11717,IGF2R,17507.037109375,WO,4,WO_F4
P24385,CCND1,1535.2908935546875,WO,4,WO_F4
Q9BXI6,TBC1D10A,4329.703125,EP,1,EP_F1
Q9BXI6,TBC1D10A,3539.98486328125,WO,1,WO_F1
P52272,HNRNPM,117084.953125,EP,1,EP_F1
P52272,HNRNPM,114879.40625,EP,2,EP_F2
P52272,HNRNPM,245560.671875,EP,3,EP_F3
P52272,HNRNPM,142796.609375,EP,4,EP_F4
P52272,HNRNPM,174355.546875,WO,1,WO_F1
P52272,HNRNPM,148562,WO,4,WO_F4
P26358,DNMT1,67089.3828125,EP,2,EP_F2
P26358,DNMT1,27803.41015625,EP,3,EP_F3
P26358,DNMT1,28393.62890625,WO,2,WO_F2
P26358,DNMT1,18140.357421875,EP,4,EP_F4
P26358,DNMT1,11692.0703125,WO,3,WO_F3
Q8N954,GPATCH11,2887.489501953125,EP,1,EP_F1
Q8N954,GPATCH11,34764.2109375,WO,1,WO_F1
Q8N954,GPATCH11,18456.677734375,WO,2,WO_F2
Q8N954,GPATCH11,15432.3408203125,WO,3,WO_F3
P61247,RPS3A,1030445.5,EP,1,EP_F1
P61247,RPS3A,1581388.125,EP,2,EP_F2
P61247,RPS3A,1292800,EP,3,EP_F3
P61247,RPS3A,505586.03125,EP,4,EP_F4
P61247,RPS3A,1770925.625,WO,1,WO_F1
P61247,RPS3A,2089870.5,WO,2,WO_F2
P61247,RPS3A,931959,WO,3,WO_F3
P61247,RPS3A,929466.9375,WO,4,WO_F4
Q92793,CREBBP,10728.17578125,EP,2,EP_F2
Q92793,CREBBP,6030.6298828125,EP,3,EP_F3
Q92793,CREBBP,4507.3037109375,EP,4,EP_F4
Q9Y6D5,ARFGEF2,10452.6142578125,EP,2,EP_F2
Q9Y6D5,ARFGEF2,3084.560546875,EP,3,EP_F3
Q9Y6D5,ARFGEF2,9566.8291015625,WO,2,WO_F2
Q13045,FLII,5373.091796875,EP,4,EP_F4
Q92673,SORL1,3362.06005859375,EP,2,EP_F2
Q6UY14,ADAMTSL4,3539.4140625,WO,2,WO_F2
Q8TF72,SHROOM3,10272.3193359375,WO,1,WO_F1
Q8TF72,SHROOM3,7762.42041015625,WO,4,WO_F4
P11498,PC,12553.5302734375,EP,4,EP_F4
Q96RK0,CIC,32649.298828125,WO,4,WO_F4
Q15067,ACOX1,60981.00390625,EP,1,EP_F1
Q15067,ACOX1,34091.71484375,EP,3,EP_F3
Q15067,ACOX1,29831.470703125,EP,4,EP_F4
Q15067,ACOX1,36124.5234375,WO,4,WO_F4
P49368,CCT3,235639.234375,EP,1,EP_F1
P49368,CCT3,202083.0625,EP,2,EP_F2
P49368,CCT3,163341.390625,EP,4,EP_F4
P49368,CCT3,119086.1015625,WO,1,WO_F1
P49368,CCT3,91835.6953125,WO,2,WO_F2
P49368,CCT3,68176.234375,WO,3,WO_F3
P49368,CCT3,86345.8046875,WO,4,WO_F4
A6NHR9,SMCHD1,21928.431640625,EP,3,EP_F3
A6NHR9,SMCHD1,11397.3837890625,WO,3,WO_F3
A6NHR9,SMCHD1,15377.1259765625,WO,4,WO_F4
P13637,ATP1A3,20188.8359375,EP,1,EP_F1
P13637,ATP1A3,42387.0703125,EP,3,EP_F3
P13637,ATP1A3,22376.759765625,EP,4,EP_F4
P13637,ATP1A3,24570.810546875,WO,3,WO_F3
P13637,ATP1A3,25452.25390625,WO,4,WO_F4
P13637,ATP1A3,24481,WO,1,WO_F1
Q9Y2K7,KDM2A,785.67974853515625,EP,1,EP_F1
Q9Y2K7,KDM2A,6587.5390625,EP,3,EP_F3
Q9Y2K7,KDM2A,2208.205078125,EP,4,EP_F4
Q9Y2K7,KDM2A,2876.100341796875,WO,3,WO_F3
Q9BWS9,CHID1,41061.875,EP,1,EP_F1
Q9BWS9,CHID1,115596.2265625,EP,2,EP_F2
Q9BWS9,CHID1,35605.94140625,EP,3,EP_F3
Q9BWS9,CHID1,14108.58984375,EP,4,EP_F4
Q9BWS9,CHID1,11914.8486328125,WO,1,WO_F1
Q9BWS9,CHID1,49469.19921875,WO,2,WO_F2
Q9BWS9,CHID1,13799.3154296875,WO,3,WO_F3
Q9BWS9,CHID1,10926.5439453125,WO,4,WO_F4
Q7Z6Z7,HUWE1,11327.8837890625,EP,2,EP_F2
Q9Y618,NCOR2,11163.3369140625,WO,1,WO_F1
Q9Y618,NCOR2,11336.09375,WO,2,WO_F2
P23396,RPS3,1258647,EP,1,EP_F1
P23396,RPS3,1950847.25,EP,2,EP_F2
P23396,RPS3,1892853.625,EP,3,EP_F3
P23396,RPS3,1968580.375,EP,4,EP_F4
Q9Y6Q2,STON1,11374.388671875,EP,3,EP_F3
Q9HDC5,JPH1,15492.822265625,EP,1,EP_F1
Q9HDC5,JPH1,2677.700439453125,EP,2,EP_F2
Q9HDC5,JPH1,7322.189453125,WO,1,WO_F1
Q00872,MYBPC1,2939.234619140625,EP,3,EP_F3
Q9NWZ5,UCKL1,7043.287109375,WO,1,WO_F1
Q9NWZ5,UCKL1,6310.53515625,WO,2,WO_F2
Q96ES7,SGF29,4254.64208984375,EP,1,EP_F1
Q96ES7,SGF29,5657.08203125,WO,1,WO_F1
Q8WZA9,IRGQ,9415.791015625,WO,1,WO_F1
Q8WZA9,IRGQ,3919.880859375,WO,2,WO_F2
O94905,ERLIN2,66882.1796875,EP,1,EP_F1
O94905,ERLIN2,102178.5546875,EP,2,EP_F2
O94905,ERLIN2,141953.515625,EP,3,EP_F3
O94905,ERLIN2,30888.76953125,WO,1,WO_F1
O94905,ERLIN2,39308.35546875,WO,2,WO_F2
Q13409,DYNC1I2,57348.625,EP,1,EP_F1
Q68DH5,LMBRD2,6757.5224609375,EP,1,EP_F1
Q68DH5,LMBRD2,4479.0166015625,EP,2,EP_F2
O75477,ERLIN1,20262.146484375,EP,2,EP_F2
O75477,ERLIN1,29077.591796875,EP,3,EP_F3
O75477,ERLIN1,34957.5390625,EP,4,EP_F4
O75477,ERLIN1,7560.01904296875,WO,2,WO_F2
Q13424,SNTA1,3431.0068359375,EP,1,EP_F1
Q13424,SNTA1,8305.9970703125,EP,3,EP_F3
Q13424,SNTA1,4497.60888671875,EP,4,EP_F4
Q13424,SNTA1,1704.040283203125,WO,1,WO_F1
Q13424,SNTA1,3017.597900390625,WO,3,WO_F3
Q13424,SNTA1,3980.445556640625,WO,4,WO_F4
Q8WZ42,TTN,25004.216796875,EP,4,EP_F4
Q5TA31,RNF187,8379.39453125,WO,3,WO_F3
Q7Z2K8,GPRIN1,123528.7109375,WO,1,WO_F1
Q7Z2K8,GPRIN1,254371.625,WO,2,WO_F2
Q7Z2K8,GPRIN1,116509.109375,WO,3,WO_F3
Q8IUL8,CILP2,0,WO,3,WO_F3
Q6NYC1,JMJD6,8168.9013671875,EP,3,EP_F3
Q8TBM8,DNAJB14,16211.232421875,EP,2,EP_F2
Q8TBM8,DNAJB14,5614.28466796875,WO,1,WO_F1
Q8TBM8,DNAJB14,11326.3173828125,WO,2,WO_F2
P03915,MT-ND5,2679.477294921875,EP,1,EP_F1
Q96T58,SPEN,11018.767578125,WO,1,WO_F1
O95433,AHSA1,48351.98828125,EP,1,EP_F1
O95433,AHSA1,41664.48828125,EP,4,EP_F4
O95433,AHSA1,29279.49609375,WO,1,WO_F1
O95433,AHSA1,42856.96875,WO,3,WO_F3
O95433,AHSA1,29003.466796875,WO,4,WO_F4
Q9NX00,TMEM160,3648.117431640625,EP,1,EP_F1
Q9NX00,TMEM160,2174.26611328125,EP,4,EP_F4
Q8WXH0,SYNE2,271717.625,EP,1,EP_F1
Q8WXH0,SYNE2,270368.75,EP,2,EP_F2
Q8WXH0,SYNE2,180753.46875,WO,2,WO_F2
O43747,AP1G1,38687.015625,EP,3,EP_F3
O43747,AP1G1,84083.234375,EP,4,EP_F4
O43747,AP1G1,16541.38671875,WO,1,WO_F1
O43747,AP1G1,12762.28515625,WO,3,WO_F3
O43747,AP1G1,21048.28515625,WO,4,WO_F4
Q9NRD1,FBXO6,17575.375,EP,2,EP_F2
Q9NRD1,FBXO6,36560.734375,EP,3,EP_F3
Q9NRD1,FBXO6,24396.853515625,EP,4,EP_F4
P46063,RECQL,10838.30859375,EP,3,EP_F3
Q8IVL6,P3H3,1743.6943359375,EP,2,EP_F2
Q8IVL6,P3H3,3959.5185546875,WO,2,WO_F2
Q99719,SEPTIN5,44364.15625,EP,2,EP_F2
Q99719,SEPTIN5,35661.78125,WO,2,WO_F2
Q99719,SEPTIN5,10742.9052734375,WO,3,WO_F3
Q99719,SEPTIN5,23098.69140625,EP,1,EP_F1
Q99719,SEPTIN5,18985.478515625,EP,3,EP_F3
Q13123,IK,18510.521484375,EP,3,EP_F3
P22307,SCP2,104085.484375,EP,2,EP_F2
Q7KZF4,SND1,17636.2265625,EP,1,EP_F1
Q7KZF4,SND1,14890.3642578125,WO,1,WO_F1
O75147,OBSL1,5986.56884765625,EP,1,EP_F1
O75147,OBSL1,8159.619140625,EP,2,EP_F2
O75147,OBSL1,7667.544921875,WO,2,WO_F2
Q9NS00,C1GALT1,20727.150390625,EP,2,EP_F2
Q9NS00,C1GALT1,12236.8310546875,EP,3,EP_F3
Q9NS00,C1GALT1,5253.54052734375,WO,3,WO_F3
P25391,LAMA1,6307.62353515625,EP,2,EP_F2
P25391,LAMA1,2680.331298828125,EP,3,EP_F3
P25391,LAMA1,3344.9404296875,WO,2,WO_F2
O15230,LAMA5,53767.23828125,WO,1,WO_F1
O15230,LAMA5,69675.671875,WO,2,WO_F2
O15230,LAMA5,30833.255859375,WO,3,WO_F3
P39060,COL18A1,39994.0625,WO,3,WO_F3
Q9H9E3,COG4,5012.70556640625,EP,1,EP_F1
Q9H9E3,COG4,6598.009765625,WO,2,WO_F2
P52564,MAP2K6,39926.796875,EP,2,EP_F2
P52564,MAP2K6,46200.046875,EP,3,EP_F3
P52564,MAP2K6,31754.255859375,WO,2,WO_F2
P52564,MAP2K6,22260.4375,WO,3,WO_F3
O43290,SART1,98745.8984375,WO,2,WO_F2
O43290,SART1,33013.671875,WO,3,WO_F3
O43290,SART1,56305.03515625,WO,4,WO_F4
O43290,SART1,10454.5029296875,EP,2,EP_F2
P61764,STXBP1,35948.85546875,EP,1,EP_F1
Q8NE71,ABCF1,37199.98046875,EP,2,EP_F2
Q8NE71,ABCF1,35352.47265625,EP,3,EP_F3
Q8NE71,ABCF1,24574.994140625,WO,3,WO_F3
P31629,HIVEP2,0,WO,4,WO_F4
Q9Y2W2,WBP11,139461.96875,WO,1,WO_F1
Q9Y3Z3,SAMHD1,2924.00244140625,EP,2,EP_F2
Q9Y3Z3,SAMHD1,2492.07373046875,WO,2,WO_F2
P11498,PC,16822.671875,EP,2,EP_F2
P48739,PITPNB,23026.435546875,EP,2,EP_F2
P48739,PITPNB,31346.9296875,EP,3,EP_F3
P48739,PITPNB,20773.5703125,WO,1,WO_F1
P48739,PITPNB,50747.875,WO,2,WO_F2
P48739,PITPNB,37880.90625,WO,3,WO_F3
P48739,PITPNB,21180.537109375,WO,4,WO_F4
Q96BI3,APH1A,3448.64892578125,EP,1,EP_F1
Q149N8,SHPRH,4769.60791015625,EP,2,EP_F2
Q13232,NME3,17985.7421875,EP,4,EP_F4
Q13232,NME3,22461.935546875,WO,4,WO_F4
Q9Y467,SALL2,6088.49755859375,WO,2,WO_F2
O75643,SNRNP200,84991.296875,EP,1,EP_F1
O75643,SNRNP200,84734.578125,EP,2,EP_F2
O75643,SNRNP200,88785.3359375,WO,2,WO_F2
O75781,PALM,5540.09423828125,WO,1,WO_F1
P14868,DARS1,177409.78125,EP,1,EP_F1
P14868,DARS1,337814.375,EP,2,EP_F2
P14868,DARS1,334066.3125,EP,3,EP_F3
P14868,DARS1,171276.546875,EP,4,EP_F4
P14868,DARS1,111457.1015625,WO,1,WO_F1
P14868,DARS1,158302.046875,WO,2,WO_F2
P14868,DARS1,148490.046875,WO,3,WO_F3
P14868,DARS1,108364.7890625,WO,4,WO_F4
Q92791,P3H4,6588.787109375,EP,2,EP_F2
P11498,PC,20735.912109375,EP,3,EP_F3
P11498,PC,7349.58203125,WO,2,WO_F2
P00390,GSR,621393.9375,EP,4,EP_F4
P00390,GSR,262271,WO,4,WO_F4
P00390,GSR,314490.34375,EP,1,EP_F1
P00390,GSR,219338.15625,EP,2,EP_F2
P00390,GSR,580827.25,EP,3,EP_F3
P00390,GSR,292506.5,WO,3,WO_F3
O95573,ACSL3,19388.35546875,EP,1,EP_F1
O95573,ACSL3,11561.71875,WO,1,WO_F1
Q8IZA0,KIAA0319L,7404.50390625,EP,2,EP_F2
Q8IZA0,KIAA0319L,3169.0634765625,EP,3,EP_F3
Q8IZA0,KIAA0319L,6294.8017578125,WO,2,WO_F2
Q8NG27,PJA1,8125.697265625,WO,1,WO_F1
Q8NG27,PJA1,17165.658203125,WO,2,WO_F2
Q8NG27,PJA1,38607.52734375,WO,3,WO_F3
Q8NG27,PJA1,8531.35546875,WO,4,WO_F4
O95714,HERC2,6814.2216796875,EP,4,EP_F4
P26640,VARS1,21723.23828125,WO,4,WO_F4
P61803,DAD1,4324.87158203125,WO,3,WO_F3
Q5HYJ3,FAM76B,12758.921875,EP,2,EP_F2
Q5HYJ3,FAM76B,3381.780517578125,EP,3,EP_F3
Q5HYJ3,FAM76B,39530.5625,WO,2,WO_F2
Q5HYJ3,FAM76B,8329.734375,WO,3,WO_F3
Q5HYJ3,FAM76B,3675.539794921875,WO,4,WO_F4
Q8TAV0,FAM76A,1114.75048828125,EP,2,EP_F2
Q8TAV0,FAM76A,1232.005859375,WO,2,WO_F2
Q9NX40,OCIAD1,47981.80859375,EP,2,EP_F2
Q9NX40,OCIAD1,401347.53125,WO,2,WO_F2
Q9NX40,OCIAD1,463257.03125,WO,3,WO_F3
P08236,GUSB,230416.921875,EP,1,EP_F1
P08236,GUSB,98348.546875,WO,1,WO_F1
P35237,SERPINB6,11961.7783203125,EP,3,EP_F3
P35237,SERPINB6,23396.384765625,EP,4,EP_F4
P35237,SERPINB6,13150.2060546875,WO,3,WO_F3
P35237,SERPINB6,29511.27734375,WO,4,WO_F4
P35237,SERPINB6,45021.2578125,WO,1,WO_F1
P50452,SERPINB8,6641.6630859375,WO,2,WO_F2
Q9H2M9,RAB3GAP2,9833.970703125,EP,1,EP_F1
Q9H2M9,RAB3GAP2,6162.9833984375,WO,1,WO_F1
Q14318,FKBP8,5542.03564453125,EP,1,EP_F1
Q14318,FKBP8,13394.208984375,WO,1,WO_F1
Q14318,FKBP8,17561.703125,WO,3,WO_F3
Q14318,FKBP8,11918.265625,WO,4,WO_F4
Q96F63,CCDC97,4014.31787109375,EP,2,EP_F2
Q96F63,CCDC97,9528.7119140625,EP,3,EP_F3
Q96F63,CCDC97,1886.662353515625,EP,4,EP_F4
Q96F63,CCDC97,1415.832275390625,WO,2,WO_F2
Q96F63,CCDC97,2993.187255859375,WO,3,WO_F3
Q96QE5,TEFM,0,EP,3,EP_F3
P17535,JUND,4080.668701171875,WO,1,WO_F1
P17535,JUND,2026.6317138671875,WO,2,WO_F2
P17535,JUND,5969.48046875,WO,4,WO_F4
Q07157,TJP1,34572.1484375,EP,1,EP_F1
Q07157,TJP1,66644.609375,WO,1,WO_F1
P51825,AFF1,4256.46435546875,WO,1,WO_F1
Q9C0D5,TANC1,3225.66796875,EP,2,EP_F2
P98164,LRP2,52761.23828125,EP,2,EP_F2
Q9NZ56,FMN2,5876.51123046875,WO,3,WO_F3
Q9NRF8,CTPS2,38540.640625,EP,1,EP_F1
Q9NRF8,CTPS2,61843.4921875,EP,2,EP_F2
Q9NRF8,CTPS2,71153.3359375,EP,3,EP_F3
Q9NRF8,CTPS2,48961.9375,EP,4,EP_F4
Q9NRF8,CTPS2,32515.484375,WO,1,WO_F1
Q9NRF8,CTPS2,43431.80078125,WO,2,WO_F2
Q9NRF8,CTPS2,50396.9921875,WO,3,WO_F3
Q9NRF8,CTPS2,40702.3984375,WO,4,WO_F4
Q96A35,MRPL24,10679.93359375,EP,3,EP_F3
Q96A35,MRPL24,6939.384765625,EP,4,EP_F4
Q96A35,MRPL24,21638.974609375,WO,3,WO_F3
Q96A35,MRPL24,4840.90966796875,WO,4,WO_F4
Q4KMP7,TBC1D10B,5430.83349609375,EP,1,EP_F1
Q4KMP7,TBC1D10B,3389.823974609375,EP,2,EP_F2
Q4KMP7,TBC1D10B,13712.931640625,WO,1,WO_F1
Q4KMP7,TBC1D10B,4914.02880859375,WO,2,WO_F2
Q9ULE3,DENND2A,16622.685546875,WO,2,WO_F2
Q8IYB4,PEX5L,5440.50146484375,EP,1,EP_F1
Q8IYB4,PEX5L,14601.685546875,WO,1,WO_F1
Q07954,LRP1,49757.12890625,EP,3,EP_F3
P55196,AFDN,25131.076171875,WO,2,WO_F2
Q13308,PTK7,6932.4345703125,EP,2,EP_F2
Q13308,PTK7,38238.1484375,WO,1,WO_F1
Q13308,PTK7,35172.12109375,WO,2,WO_F2
Q13308,PTK7,12372.021484375,WO,3,WO_F3
Q96T21,SECISBP2,7468.4404296875,WO,1,WO_F1
Q13445,TMED1,37906.3125,EP,1,EP_F1
Q13445,TMED1,78828.7890625,EP,2,EP_F2
Q13445,TMED1,34426.8046875,WO,2,WO_F2
Q13445,TMED1,9584.6533203125,EP,3,EP_F3
Q13445,TMED1,12669.306640625,WO,1,WO_F1
Q13445,TMED1,1394.75537109375,WO,3,WO_F3
O14548,COX7A2L,3808.439208984375,WO,1,WO_F1
O14548,COX7A2L,6061.64404296875,WO,3,WO_F3
Q92692,NECTIN2,7814.17919921875,WO,1,WO_F1
O94888,UBXN7,27008.537109375,WO,2,WO_F2
P62333,PSMC6,32319.03125,EP,2,EP_F2
P62333,PSMC6,23081.71484375,EP,3,EP_F3
P62333,PSMC6,8084.00537109375,EP,4,EP_F4
P62333,PSMC6,48283.703125,WO,2,WO_F2
P62333,PSMC6,36398.3828125,WO,3,WO_F3
P08238,HSP90AB1,360135.4375,EP,1,EP_F1
P08238,HSP90AB1,923672.375,EP,2,EP_F2
P08238,HSP90AB1,146844.5,WO,1,WO_F1
O75635,SERPINB7,4396.14697265625,EP,3,EP_F3
O75635,SERPINB7,1643.256591796875,EP,4,EP_F4
O75635,SERPINB7,4587.03173828125,WO,3,WO_F3
Q9UHB6,LIMA1,55721.55078125,WO,1,WO_F1
Q9UHB6,LIMA1,111360.4453125,WO,2,WO_F2
Q9UHB6,LIMA1,59785.76953125,WO,3,WO_F3
Q9UHB6,LIMA1,38661.546875,WO,4,WO_F4
O94887,FARP2,1071.6112060546875,EP,1,EP_F1
O94887,FARP2,2169.021728515625,EP,4,EP_F4
Q5VW32,BROX,12275.8056640625,EP,3,EP_F3
Q5VW32,BROX,4323.15087890625,EP,4,EP_F4
Q5VW32,BROX,20292.466796875,WO,3,WO_F3
