Package	Version
annotate	1.84.0
AnnotationDbi	1.68.0
ape	5.8-1
ashr	2.2-63
babelgene	22.9
bbmle	1.0.25.1
bdsmatrix	1.3-7
BiocParallel	1.40.2
Biostrings	2.74.1
broom.mixed	0.2.9.6
ca	0.71.1
caret	7.0-1
cli	3.6.5
clock	0.7.3
ComplexUpset	1.3.3
corpcor	1.6.10
dbscan	1.2.3
dendsort	0.3.4
DEP	1.30.0
DEqMS	1.24.0
DESeq2	1.46.0
doRNG	1.8.6.2
downloader	0.4.1
dqrng	0.4.1
edgeR	4.4.2
emdbook	1.3.14
etrunct	0.1
eulerr	7.0.4
fastmatch	1.1-6
fgsea	1.32.4
FlexParamCurve	1.5-7
FNN	1.1.4.1
FSA	0.10.0
furrr	0.3.1
gclus	1.3.3
genefilter	1.88.0
GenomeInfoDb	1.42.3
GenomeInfoDbData	1.2.13
GenSA	1.1.15
ggcorrplot	0.1.4.1
ggnewscale	0.5.2
ggraph	2.2.2
ggtext	0.1.2
glue	1.8.0
gmp	0.7-5
GO.db	3.20.0
gower	1.0.2
gprofiler2	0.2.3
graphlayouts	1.2.2
gridSVG	1.7-7
gridtext	0.1.5
gsignal	0.3-7
gson	0.1.0
hardhat	1.4.2
HarmonizR	1.4.0
invgamma	1.2
irlba	2.3.5.1
itertools	0.1-3
jomo	2.7-6
jpeg	0.1-11
KEGGREST	1.46.0
lipidmapsR	1.0.4
lmerTest	3.1-3
lmtest	0.9-40
locfit	1.5-9.12
magick	2.9.0
magrittr	2.0.4
mice	3.18.0
missForest	1.5
missMDA	1.20
mitml	0.4-5
mixOmics	6.30.0
mixsqp	0.3-54
ModelMetrics	1.2.2.2
msigdbr	25.1.1
multcomp	1.4-29
mzR	2.40.0
NormalyzerDE	1.24.0
ordinal	2023.12-4.1
org.Dm.eg.db	3.20.0
outliers	0.15
pak	0.9.0
pan	1.9
permute	0.9-8
plogr	0.2.0
plotrix	3.8-4
plotROC	2.3.3
polylabelr	1.0.0
POMA	1.16.0
pracma	2.4.6
pROC	1.19.0.1
PRONE	1.0.7
qap	0.1-2
ragg	1.5.0
RankProd	3.32.0
rARPACK	0.11-0
RcppAnnoy	0.0.22
RcppNumerical	0.6-0
RcppProgress	0.4.2
RcppTOML	0.2.3
RCurl	1.98-1.17
recipes	1.3.1
registry	0.5-1
reticulate	1.43.0
rhandsontable	0.3.8
RJSONIO	2.0.0
rlang	1.1.6
Rmpfr	1.1-2
rngtools	1.5.2
ROTS	1.34.0
RSpectra	0.16-2
RSQLite	2.4.3
Rtsne	0.17
scatterpie	0.2.6
seriation	1.5.8
shadowtext	0.1.6
shinyBS	0.61.1
shinyFeedback	0.4.0
shinythemes	1.2.0
shinyvalidate	0.1.3
sitmo	2.0.2
sparsevctrs	0.3.4
SummarizedExperiment	1.36.0
sva	3.54.0
systemfonts	1.3.1
textshaping	1.0.4
TH.data	1.1-4
tibble	3.3.0
tidygraph	1.3.1
tidytree	0.4.6
timeDate	4051.111
truncnorm	1.0-9
TSP	1.2-5
ucminf	1.2.2
umap	0.2.10.0
uwot	0.2.3
vegan	2.7-2
visNetwork	2.1.4
xfun	0.53
abind	1.4-8
ade4	1.7-23
admisc	0.38
affy	1.84.0
affyio	1.76.0
AnnotationFilter	1.30.0
anytime	0.3.12
aplot	0.2.9
arrow	21.0.0
askpass	1.2.1
assertthat	0.2.1
backports	1.5.0
base	4.4.1
base64enc	0.1-3
bayesplot	1.14.0
beeswarm	0.4.0
BH	1.87.0-1
Biobase	2.66.0
BiocBaseUtils	1.8.0
BiocGenerics	0.52.0
BiocManager	1.30.26
BiocStyle	2.34.0
BiocVersion	3.20.0
bit	4.6.0
bit64	4.6.0-1
bitops	1.0-9
blob	1.2.4
bookdown	0.44
boot	1.3-32
brew	1.0-10
bridgesampling	1.1-2
brio	1.1.5
brms	2.23.0
Brobdingnag	1.2-9
broom	1.0.10
bslib	0.9.0
cachem	1.1.0
callr	3.7.6
car	3.1-3
carData	3.0-5
caTools	1.18.3
cellranger	1.1.0
checkmate	2.3.3
circlize	0.4.16
class	7.3-23
classInt	0.4-11
cli	3.6.5
clipr	0.8.0
clue	0.3-66
cluster	2.1.8.1
coda	0.19-4.1
codetools	0.2-20
collections	0.3.9
colormap	0.1.4
colorspace	2.1-2
colourpicker	1.3.0
commonmark	2.0.0
compiler	4.4.1
ComplexHeatmap	2.22.0
conflicted	1.2.0
corrplot	0.95
cowplot	1.2.0
cpp11	0.5.2
crayon	1.5.3
credentials	2.0.3
crosstalk	1.2.2
curl	7.0.0
cyclocomp	1.1.1
data.table	1.17.8
data.tree	1.2.0
dataCompareR	0.1.4
DataExplorer	0.8.4
datamods	1.5.3
datapasta	3.1.0
datasets	4.4.1
DBI	1.2.3
dbplyr	2.5.1
DelayedArray	0.32.0
dendextend	1.19.1
DEoptimR	1.1-4
DEP	1.30.0
Deriv	4.2.0
desc	1.4.3
deSolve	1.40
devtools	2.4.5
diagram	1.6.5
diffobj	0.3.6
digest	0.6.37
distributional	0.5.0
doBy	4.7.0
doParallel	1.0.17
downlit	0.4.4
dplyr	1.1.4
DT	0.34.0
dtplyr	1.3.2
dunn.test	1.3.6
e1071	1.7-16
edgebundleR	0.1.4
ellipse	0.5.0
ellipsis	0.3.2
emmeans	1.11.2-8
entropy	1.3.2
esquisse	2.1.0
estimability	1.5.1
evaluate	1.0.5
extrafont	0.20
extrafontdb	1.1
factoextra	1.0.7
FactoMineR	2.12
fansi	1.0.6
farver	2.1.2
fastmap	1.2.0
fdrtool	1.2.18
flashClust	1.01-2
flexdashboard	0.6.2
fontawesome	0.5.3
forcats	1.0.1
foreach	1.5.2
foreign	0.8-90
formatR	1.14
Formula	1.2-5
fs	1.6.6
funModeling	1.9.5
futile.logger	1.4.3
futile.options	1.0.1
future	1.67.0
future.apply	1.20.0
gargle	1.6.0
generics	0.1.4
GenomeInfoDb	1.42.3
GenomicRanges	1.58.0
gert	2.1.5
GetoptLong	1.0.5
ggbeeswarm	0.7.2
ggforce	0.5.0
ggfun	0.2.0
ggplot2	4.0.0
ggplotify	0.1.3
ggpubr	0.6.1
ggrepel	0.9.6
ggridges	0.5.7
ggsci	4.0.0
ggsignif	0.6.4
ggthemes	5.1.0
ggupset	0.4.1
ggvenn	0.1.10
ggVennDiagram	1.5.4
gh	1.5.0
gitcreds	0.1.2
githubinstall	0.2.2
githubr	0.9.1
glmnet	4.1-10
GlobalOptions	0.1.2
globals	0.18.0
glue	1.8.0
gmm	1.9-1
googledrive	2.1.2
googlesheets4	1.1.2
gplots	3.2.0
graphics	4.4.1
grDevices	4.4.1
grid	4.4.1
gridExtra	2.3
gridGraphics	0.5-1
gtable	0.3.6
gtools	3.9.5
haven	2.5.5
here	1.0.2
hexbin	1.28.5
highr	0.11
Hmisc	5.2-3
hms	1.1.3
htmlTable	2.4.3
htmltools	0.5.8.1
htmlwidgets	1.6.4
httpuv	1.6.16
httr	1.4.7
httr2	1.2.1
ids	1.0.1
igraph	2.1.4
impute	1.80.0
imputeLCMD	2.1
ini	0.3.1
inline	0.3.21
installr	0.23.4
ipred	0.9-15
IRanges	2.40.1
isoband	0.2.7
iterators	1.0.14
janeaustenr	1.0.0
janitor	2.2.1
jquerylib	0.1.4
jsonlite	2.0.0
KernSmooth	2.23-26
knitr	1.50
labeling	0.4.3
lambda.r	1.2.4
languageserver	0.3.16
languageserversetup	0.1.2
later	1.4.4
lattice	0.22-7
lava	1.8.1
lazyeval	0.2.2
leaps	3.2
lemon	0.5.2
lifecycle	1.0.4
limma	3.62.2
lintr	3.2.0
listenv	0.9.1
litedown	0.7
lme4	1.1-37
log4r	0.4.4
loo	2.8.0
lubridate	1.9.4
magrittr	2.0.4
MALDIquant	1.22.3
markdown	2.0
marray	1.84.0
MASS	7.3-65
Matrix	1.7-4
MatrixGenerics	1.18.1
MatrixModels	0.5-4
matrixStats	1.5.0
memoise	2.0.1
methods	4.4.1
mgcv	1.9-3
microbenchmark	1.5.0
mime	0.13
miniUI	0.1.2
minpack.lm	1.2-4
minqa	1.2.8
mockery	0.4.5
modelr	0.1.11
moments	0.14.1
MsCoreUtils	1.18.0
MSnbase	2.32.0
MSstats	4.14.2
MSstatsConvert	1.16.1
multcompView	0.1-10
MultiAssayExperiment	1.32.0
munsell	0.5.1
mvtnorm	1.3-3
mzID	1.44.0
mzR	2.40.0
ncdf4	1.24
networkD3	0.4.1
nleqslv	3.3.5
nlme	3.1-168
nloptr	2.2.1
NLP	0.3-2
nlstools	2.1-0
nnet	7.3-20
norm	1.0-11.1
nortest	1.0-4
numDeriv	2016.8-1.1
officer	0.7.0
openssl	2.3.4
openxlsx	4.2.8
pacman	0.5.1
palette	0.0.3
paletteer	1.6.0
palettesForR	0.1.2
palmerpenguins	0.1.1
pander	0.6.6
parallel	4.4.1
parallelly	1.45.1
patchwork	1.3.2
pbkrtest	0.5.5
pcaMethods	1.98.0
Peptides	2.4.6
phosphoricons	0.2.1
pillar	1.11.1
pixmap	0.4-14
pkgbuild	1.4.8
pkgconfig	2.0.3
pkgdown	2.1.3
pkgload	1.4.1
plotly	4.11.0
plumber	1.3.0
plyr	1.8.9
png	0.1-8
polyclip	1.10-7
polynom	1.4-1
posterior	1.6.1
praise	1.0.0
preprocessCore	1.68.0
prettyunits	1.2.0
prismatic	1.1.2
processx	3.8.6
prodlim	2025.04.28
profvis	0.4.0
progress	1.2.3
progressr	0.16.0
promises	1.3.3
ProtGenerics	1.38.0
protr	1.7-5
proxy	0.4-27
ps	1.9.1
PSMatch	1.10.0
purrr	1.1.0
QFeatures	1.16.0
qpcR	1.4-2
quantreg	6.1
QuickJSR	1.8.1
qvalue	2.38.0
R.cache	0.17.0
R.methodsS3	1.8.2
R.oo	1.27.1
R.utils	2.13.0
R6	2.6.1
ragg	1.5.0
randomForest	4.7-1.2
rappdirs	0.3.3
rbibutils	2.3
rcmdcheck	1.4.0
RColorBrewer	1.1-3
Rcpp	1.1.0
RcppArmadillo	15.0.2-2
RcppEigen	0.3.4.0.2
RcppParallel	5.1.11-1
Rdpack	2.6.4
reactable	0.4.4
reactR	0.6.1
readr	2.1.5
readxl	1.4.5
reformulas	0.4.1
rematch	2.0.0
rematch2	2.1.2
remotes	2.5.0
reprex	2.1.1
reshape2	1.4.4
rex	1.2.1
rgl	1.3.24
Rhdf5lib	1.28.0
rio	1.2.4
rjson	0.2.23
rlang	1.1.6
rmarkdown	2.30
robustbase	0.99-6
ROCR	1.0-11
roxygen2	7.3.3
rpart	4.1.24
rprojroot	2.1.1
rstan	2.32.7
rstantools	2.5.0
rstatix	0.7.2
rstudioapi	0.17.1
RTextTools	1.4.3
Rttf2pt1	1.3.14
rversions	2.1.2
rvest	1.0.5
S4Arrays	1.6.0
S4Vectors	0.44.0
S7	0.2.0
sandwich	3.1-1
